id;soru;cevap;kategori
682;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
683;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
684;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
685;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
686;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
687;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
688;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
689;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
690;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
691;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
692;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
693;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
694;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
695;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
696;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
697;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
698;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
699;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
700;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
701;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
702;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
703;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
704;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
705;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
706;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
707;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
708;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
709;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
710;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
711;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
712;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
713;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
714;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
715;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
716;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
717;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
718;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
719;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
720;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
721;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
722;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
723;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
724;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
725;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
726;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
727;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
728;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
729;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
730;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
731;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
732;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
733;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
734;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
735;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
736;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
737;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
738;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
739;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
740;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
741;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
742;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
743;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
744;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
745;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
746;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
747;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
748;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
749;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
750;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
751;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
752;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
753;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
754;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
755;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
756;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
757;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
758;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
759;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
760;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
761;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
762;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
763;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
764;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
765;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
766;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
767;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
768;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
769;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
770;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
771;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
772;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
773;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
774;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
775;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
776;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
777;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
778;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
779;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
780;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
781;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
782;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
783;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
784;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
785;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
786;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
787;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
788;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
789;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
790;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
791;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
792;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
793;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
794;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
795;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
796;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
797;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
798;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
799;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
800;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
801;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
802;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
803;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
804;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
805;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
806;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
807;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
808;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
809;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
810;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
811;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
812;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
813;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
814;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
815;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
816;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
817;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
818;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
819;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
820;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
821;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
822;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
823;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
824;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
825;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
826;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
827;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
828;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
829;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
830;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
831;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
832;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
833;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
834;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
835;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
836;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
837;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
838;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
839;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
840;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
841;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
842;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
843;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
844;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
845;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
846;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
847;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
848;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
849;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
850;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
851;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
852;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
853;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
854;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
855;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
856;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
857;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
858;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
859;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
860;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
861;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
862;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
863;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
864;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
865;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
866;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
867;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
868;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
869;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
870;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
871;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
872;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
873;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
874;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
875;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
876;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
877;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
878;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
879;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
880;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
881;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
882;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
883;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
884;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
885;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
886;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
887;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
888;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
889;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
890;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
891;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
892;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
893;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
894;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
895;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
896;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
897;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
898;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
899;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
900;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
901;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
902;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
903;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
904;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
905;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
906;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
907;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
908;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
